"Title","English.title","Director","Runtime","Cost","Kinopoisk.mark","Marks.from.kinopoisk","IMDb.mark","Marks.from.IMDb"
"Тёмные отражения","The Darkest Minds","Дженнифер Ю",104,"34000000",5.78,9471,5.7019,19345
"Ничего хорошего в отеле «Эль Рояль»","Bad Times at the El Royale","Дрю Годдард",141,"32000000",7.082,50640,7.1077,77103
"Красотка на всю голову","I Feel Pretty","Эбби Кон...",110,"32000000",6.384,23753,5.4037,37712
"Падмавати","Padmaavat","Санджай Лила Бхансали",164,"31000000",7.192,796,7.0022,22687
"Банды Индостана","Thugs of Hindostan","Виджай Кришна Ачария",164,"31000000",6.037,263,4.0014,14834
"Охота на воров","Den of Thieves","Кристиан Гьюдгэст",140,"30000000",6.712,20172,7.0067,67040
"Безумно богатые азиаты","Crazy Rich Asians","Джон М. Чу",120,"30000000",6.583,5777,7.0086,86301
"Кин","Kin","Джонатан Бэйкер...",102,"30000000",5.658,3474,5.707,7924
"Поезд на Париж","The 15:17 to Paris","Клинт Иствуд",94,"30000000",5.6,2531,5.202,20982
"Белый парень Рик","White Boy Rick","Ян Деманж",111,"29000000",6.284,2814,6.5013,13958
"Вечерняя школа","Night School","Малкольм Д. Ли",111,"29000000",5.622,3796,5.602,20647
"Ты водишь!","Tag","Джефф Томсич",100,"28000000",6.601,31901,6.6078,78107
"Ноль","Zero","Рай Ананд",164,"26000000",6.137,152,5.8019,19062
"Багровая мята","Peppermint","Пьер Морель",101,"25000000",6.265,6801,6.5032,32895
"Агент Джонни Инглиш 3.0","Johnny English Strikes Again","Дэвид Керр",89,"25000000",6.192,12999,6.2043,43895
"Операция «Финал»","Operation Finale","Крис Вайц",122,"24000000",6.435,1486,6.5019,19537
"Зеленая книга","Green Book","Питер Фаррелли",130,"23000000",8.341,108278,8.30169,169776
"Чужая ненависть","The Hate U Give","Джордж Тиллман мл.",133,"23000000",7.009,1006,7.2015,15407
"Проклятие монахини","The Nun","Корин Харди",96,"22000000",5.689,28578,5.4083,83111
"Секса не будет!!!","Blockers","Кэй Кэннон",102,"21000000",5.741,11974,6.2054,54394
"Простая просьба","A Simple Favor","Пол Фиг",117,"20000000",6.722,35952,6.9077,77232
"Точка отрыва","Action Point","Тим Киркби",85,"19000000",5.588,1341,5.005,5954
"С Богами: Последние 49 дней","Singwa hamkke: ingwa yeon","Ким Ён-хва",141,"18300000",7.609,423,7.103,3096
"Тихое место","A Quiet Place","Джон Красински",90,"17000000",6.733,72321,7.6029,290235
"Шпион пошёл на Север","Gongjak","Юн Джон-бин",137,"16800000",6.863,127,7.201,1154
"Начни сначала","Second Act","Питер Сигал",103,"16000000",6.235,7283,5.801,10127
"Суперфлай","Superfly","Директор Икс.",116,"16000000",5.181,255,5.104,4429
"Фаворитка","The Favourite","Йоргос Лантимос",119,"15000000",7.365,33324,7.70102,102313
"Черный клановец","BlacKkKlansman","Спайк Ли",135,"15000000",6.774,27292,7.50133,133139
"Прорыв","Changgwol","Ким Сон-хун",121,"15000000",6.174,281,6.201,1111
"Гордая Мэри","Proud Mary","Бабак Наджафи",89,"14000000",4.78,320,4.906,6553
"Суперполицейские 2","Super Troopers 2","Джей Чандрашекхар",100,"13500000",4.879,741,6.1018,18990
"Судная ночь. Начало","The First Purge","Герард МакМюррей",98,"13000000",5.429,11444,5.1039,39053
"Кикбоксер возвращается","Kickboxer: Retaliation","Димитри Логотетис",110,"13000000",4.635,1280,5.003,3288
"Незнакомцы: Жестокие игры","The Strangers: Prey at Night","Йоханнес Робертс",85,"12500000",4.826,3346,5.202,20872
"За бортом","Overboard","Роб Гринберг",112,"12000000",6.225,11513,5.9023,23344
"Юные титаны, вперед!","Teen Titans Go! To the Movies","Аарон Хорват...",84,"10000000",6.642,334,6.8011,11561
"Хэллоуин","Halloween","Дэвид Гордон Грин",106,"10000000",5.767,18770,6.7082,82668
"Астрал 4: Последний ключ","Insidious: The Last Key","Адам Робител",103,"10000000",5.54,18338,5.704,40486
